"Name","Description","Author","Comment","Witch Spell","Size","Script: On Execute","Gadget","Slots","NEED TOTAL?","Colour","Upgrade","Weaken","Alternate Status Trigger","SFX","Uses?","Cast Backwards?","Single use?","Tags","Script: On Dodge","Script: Before Combat","Script: After Combat","Script: Before Start Turn","Script: On Start Turn","Script: End Turn","Script: On any equipment use","Script: Before execute","Script: On Snap","Script: On Fury","Script: On any countdown reduce"
"Mars Gospel","Do [sword]<d6> damage|25% chance +[reduce]2 armour",,"Mars Gospel is unused in normal ncrmod. -Black Widow",,1,"var odds = 25; if(getstatusself(~luck~) > 0){ odds += 25; } if(getstatusself(~luck+~) > 0){ odds = 100; } if(chance(odds)) { self.textparticle(~Success!~); inflictself(REDUCE| 2); sfx(~reduce~|~~|0.2);  } attack(d); sfxdamage(target|d);","Barricade","MAX5",,"ORANGE","change_power","change_power",,,0,"NO","NO",,"var odds = 25; if(getstatusself(~luck~) > 0){ odds += 25; } if(getstatusself(~luck+~) > 0){ odds = 100; } if(chance(odds)) { self.textparticle(~Success!~); inflictself(REDUCE| 2); sfx(~reduce~|~~|0.2);  }",,,,,,,,,,
"Mars Gospel_upgraded","Do [sword]<d6> damage|25% chance +[reduce]3 armour",,,,1,"var odds = 25; if(getstatusself(~luck~) > 0){ odds += 25; } if(getstatusself(~luck+~) > 0){ odds = 100; } if(chance(odds)) { self.textparticle(~Success!~); inflictself(REDUCE| 3); sfx(~reduce~|~~|0.2);  } attack(d); sfxdamage(target|d);","Barricade","MAX5",,"ORANGE",,,,,0,"NO","NO",,"var odds = 25; if(getstatusself(~luck~) > 0){ odds += 25; } if(getstatusself(~luck+~) > 0){ odds = 100; } if(chance(odds)) { self.textparticle(~Success!~); inflictself(REDUCE| 3); sfx(~reduce~|~~|0.2);  }",,,,,,,,,,
"Mars Gospel_downgraded","Do [sword]<d6> damage",,,,1,"attack(d); sfxdamage(target|d);","Barricade","MAX5",,"ORANGE",,,,,0,"NO","NO",,,,,,,,,,,,
"Jumbo Cauldron","Deal [sword]<d6> damage|(on turn start[;] reroll lowest dice)","Lovebug",,,2,"attack(d); sfxdamage(target|d);","Broken Gadget","NORMAL",,"PURPLE",,,,,0,"NO","NO",,,,,,"if(self.dicepool.length > 0) { var min = 7; var dicelist = [for(dice in self.dicepool) if(dice.available()) dice]; for(dice in dicelist) if(dice.basevalue < min) min = dice.basevalue; for(dice in dicelist) if(dice.basevalue == min) { dice.].animatereroll(rand([1|2|3|4|5|6]) | self.screenposition()); break; } }",,,,,,
"Jumbo Cauldron_downgraded","Deal [sword]2 damage|Get a new dice","Lovebug",,,2,"attack(2); sfxdamage(target|2); givedice();","Broken Gadget","NORMAL",,"PURPLE",,,,,0,"NO","NO",,"givedice();",,,,,,,,,,
"Jumbo Cauldron_upgraded","Deal [sword]<d6> damage|(on turn start[;] flip lowest dice)","Lovebug",,,2,"attack(d); sfxdamage(target|d);","Broken Gadget","NORMAL",,"PURPLE",,,,,0,"NO","NO",,,,,,"if(self.dicepool.length > 0) { var min = 7; var dicelist = [for(dice in self.dicepool) if(dice.available()) dice]; for(dice in dicelist) if(dice.basevalue < min) min = dice.basevalue; for(dice in dicelist) if(dice.basevalue == min) { dice.].animatereroll(7 - d) | self.screenposition()); break; } }",,,,,,
"Polarized Cauldron","Do [sword]1 damage|Get a dice of different parity","Lovebug",,,1,"attack(1); sfxdamage(target|1); if(d % 2 == 0) givedice(rand([1|3|5])); else givedice(rand([2|4|6]));","Broken Gadget","NORMAL",,"GRAY",,,,,0,"NO","NO",,"if(d % 2 == 0) givedice(rand([1|3|5])); else givedice(rand([2|4|6]));",,,,,,,,,,
"Polarized Cauldron_downgraded","Do [sword]1 damage","Lovebug",,,1,"attack(1); sfxdamage(target|1); if(d % 2 == 0) givedice(rand([1|3|5])); else givedice(rand([2|4|6]));","Broken Gadget","NORMAL",,"GRAY",,,,,0,"NO","NO",,"if(d % 2 == 0) givedice(rand([1|3|5])); else givedice(rand([2|4|6]));",,,,,,,,,,
"Pulsing Cauldron","Do [sword]1 damage|On low (1-3)[;] get a high dice|On high (4-6)[;] get a low dice","Lovebug",,,1,"attack(1); sfxdamage(target|1); if(d < 4) givedice(rand([4|5|6])); else givedice(rand([1|2|3]));","Broken Gadget","NORMAL",,"GRAY",,,,,0,"NO","NO",,"if(d % 2 == 0) givedice(rand([1|3|5])); else givedice(rand([2|4|6]));",,,,,,,,,,
"Superconductor","Deal [sword]30 damage.|Dice used in non-countdown|equipment also count for this","Lovebug",,,2,"attack(30); sfxdamage(target|30);","Broken Gadget","COUNTDOWN",60,"RED",,,,,,,,,,,,,,,"var last = self.lastequipmentused; if(!onlimit && last != null && last.assigneddice.length > 0) { var dicelist = [for(dice in last.assigneddice) if(dice != null) dice]; for(dice in dicelist) { last.remove(dice); e.assigndice(dice); } }",,,,
